feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,label
107,160,180495,0,true,9,15,9,0.00031510103,2276,440,297,43,17,0,26,47,0.020408163,0.0039525693,9.0,true
80,163,193402,0,true,14,15,9,0.00019567831,3935,412,11768,43,17,0,26,47,0.033898305,0.0035569107,14.0,true
79,145,181994,0,true,10,17,9,0.00033360123,2405,453,4464,43,17,0,26,47,0.02202643,0.004156276,10.0,true
73,64,183555,0,true,9,15,9,0.00031356153,2662,463,6110,43,17,0,26,47,0.019396551,0.003379647,9.0,true
94,210,192425,0,true,9,15,9,0.00034503642,3788,488,9846,43,17,0,26,47,0.018404908,0.002375297,9.0,true
99,163,188327,0,true,10,17,9,0.00034785634,2788,472,6785,43,17,0,26,47,0.021141648,0.0035855146,10.0,true
94,122,192163,0,true,9,15,9,0.0003244898,3177,479,8206,43,17,0,26,47,0.01875,0.0028319699,9.0,true
72,179,185376,0,true,14,15,9,0.00022966876,2872,389,7017,43,17,0,26,47,0.035897437,0.004872955,14.0,true
96,152,182932,0,true,10,17,9,0.00033184004,2464,460,4708,43,17,0,26,47,0.021691974,0.004056795,10.0,true
89,146,213190,0,true,10,17,9,0.0003803261,5451,568,18188,43,17,0,26,47,0.017574692,0.0018341893,10.0,true
110,173,192322,0,true,9,15,9,0.00033179438,3168,484,7436,43,17,0,26,47,0.018556701,0.0028400125,9.0,true
88,255,191010,0,true,9,15,9,0.00030637038,3447,466,8460,43,17,0,26,47,0.01927195,0.002610209,9.0,true
99,122,174278,0,true,14,15,9,0.00017740505,2385,340,4445,43,17,0,26,47,0.04105572,0.005867561,14.0,true
108,132,186554,0,true,14,15,9,0.00019080748,3396,396,8668,43,17,0,26,47,0.035264485,0.0041212835,14.0,true
83,156,196452,0,true,9,15,9,0.0003147042,3620,505,9402,43,17,0,26,47,0.01778656,0.0024855013,9.0,true
106,182,202693,0,true,9,15,9,0.00030229546,4798,513,13150,43,17,0,26,47,0.017509727,0.0018753908,9.0,true
72,113,191526,0,true,9,15,9,0.0003321813,2973,495,7520,43,17,0,26,47,0.01814516,0.0030262272,9.0,true
99,245,201500,0,true,9,15,9,0.00035168976,4084,516,10724,43,17,0,26,47,0.017408123,0.0022031823,9.0,true
102,142,176111,0,true,9,15,9,0.00032487343,2208,438,4540,43,17,0,26,47,0.020501139,0.004074242,9.0,true
